Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:28:26,2024-01-06 03:28:26,0.681s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:28:26,2024-01-06 03:28:29,2.227s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Name_name""), Name)",Chrome 120.0.0.0,,,2024-01-06 03:28:29,2024-01-06 03:28:30,1.238s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Email_email""), Email)",Chrome 120.0.0.0,,,2024-01-06 03:28:30,2024-01-06 03:28:31,1.019s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Password_pass""), Password)",Chrome 120.0.0.0,,,2024-01-06 03:28:31,2024-01-06 03:28:32,0.665s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/label_I agree to the Terms of Service and P_8aeb5a""))",Chrome 120.0.0.0,,,2024-01-06 03:28:32,2024-01-06 03:28:32,0.463s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up""))",Chrome 120.0.0.0,,,2024-01-06 03:28:32,2024-01-06 03:28:33,0.602s,PASSED
"verifyElementText(findTestObject(""Page_Free Online Form Builder  Form Creator_1350da/p_Your password must include at least""), ""Your password must include at least"")",Chrome 120.0.0.0,,,2024-01-06 03:28:33,2024-01-06 03:28:33,0.569s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,2024-01-06 03:28:33,2024-01-06 03:28:34,1.125s,PASSED
,,,,,,,
Test Cases/SignUp_TC06,Chrome 120.0.0.0,Sign Up Process,,2024-01-06 03:28:34,2024-01-06 03:28:45,10.606s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-06 03:28:35,2024-01-06 03:28:37,2.247s,PASSED
"navigateToUrl(""https://www.jotform.com/"")",Chrome 120.0.0.0,,,2024-01-06 03:28:37,2024-01-06 03:28:39,1.858s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/a_Sign Up for Free""))",Chrome 120.0.0.0,,,2024-01-06 03:28:39,2024-01-06 03:28:40,0.672s,PASSED
"click(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/button_Sign up with Email""))",Chrome 120.0.0.0,,,2024-01-06 03:28:40,2024-01-06 03:28:42,2.460s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Name_name""), Name)",Chrome 120.0.0.0,,,2024-01-06 03:28:42,2024-01-06 03:28:44,1.444s,PASSED
"setText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Email_email""), Email)",Chrome 120.0.0.0,,,2024-01-06 03:28:44,2024-01-06 03:28:45,1.007s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Free Online Form Builder  Form Creator_1350da/input_Password_pass""), Password)",Chrome 120.0.0.0,,,2024-01-06 03:28:45,2024-01-06 03:28:45,0.269s,FAILED
,,,,,,,
Test Cases/SignUp_TC07,Chrome 120.0.0.0,Sign Up Process,,2024-01-06 03:28:45,2024-01-06 03:28:58,12.870s,FAILED
"openBrowser("""")",Chrome 120.0.0.0,,,2024-01-06 03:28:46,2024-01-06 03:28:49,2.984s,PASSED
"navigateToUrl(""https://www.jotform.com/"")",Chrome 120.0.0.0,,,2024-01-06 03:28:49,2024-01-06 03:28:52,3.196s,PASSED
